"Freq [GHz]","Phi [deg]","Theta [deg]","GainTotal []"
4.5,-168,176,0.0717594202761947
4.5,-168,178,0.0699809861698663
4.5,-168,180,0.0681929504192406
4.5,-166,0,2.22951090171359
4.5,-166,2,2.28659057987281
4.5,-166,4,2.33618285886871
4.5,-166,6,2.37782204589527
4.5,-166,8,2.41114540225775
4.5,-166,10,2.43589926693957
4.5,-166,12,2.45194250934976
4.5,-166,14,2.45924725380568
4.5,-166,16,2.45789691722773
4.5,-166,18,2.4480816958744
4.5,-166,20,2.43009172229544
4.5,-166,22,2.40430818627323
4.5,-166,24,2.37119277047989
4.5,-166,26,2.331275791035
4.5,-166,28,2.28514345430319
4.5,-166,30,2.23342464436322
4.5,-166,32,2.17677764180061
4.5,-166,34,2.1158771458168
4.5,-166,36,2.05140193071439
4.5,-166,38,1.98402341761444
4.5,-166,40,1.91439538597675
4.5,-166,42,1.84314499029125
4.5,-166,44,1.77086518814857
4.5,-166,46,1.69810862939166
4.5,-166,48,1.62538300435181
4.5,-166,50,1.55314780391956
4.5,-166,52,1.4818124064941
4.5,-166,54,1.41173537726766
4.5,-166,56,1.34322484393557
4.5,-166,58,1.27653979946563
4.5,-166,60,1.21189217637432
4.5,-166,62,1.14944953716268
4.5,-166,64,1.08933823112876
4.5,-166,66,1.03164687759115
4.5,-166,68,0.976430048519359
4.5,-166,70,0.923712038618473
4.5,-166,72,0.873490627099424
4.5,-166,74,0.825740751850958
4.5,-166,76,0.780418032827243
4.5,-166,78,0.737462096634152
4.5,-166,80,0.696799668140626
4.5,-166,82,0.658347407194167
4.5,-166,84,0.622014479034374
4.5,-166,86,0.587704855727197
4.5,-166,88,0.555319352917912
4.5,-166,90,0.524757411516998
4.5,-166,92,0.495918637729437
4.5,-166,94,0.468704117283956
4.5,-166,96,0.443017521001368
4.5,-166,98,0.418766019154925
4.5,-166,100,0.395861021615419
4.5,-166,102,0.374218759728614
4.5,-166,104,0.353760724422888
4.5,-166,106,0.334413973358988
4.5,-166,108,0.31611131816711
4.5,-166,110,0.298791401109777
4.5,-166,112,0.282398668987769
4.5,-166,114,0.266883250878695
4.5,-166,116,0.25220074545326
4.5,-166,118,0.238311923220758
4.5,-166,120,0.225182349156622
4.5,-166,122,0.212781931777246
4.5,-166,124,0.201084405836532
4.5,-166,126,0.190066757377019
4.5,-166,128,0.179708601793538
4.5,-166,130,0.169991527741561
4.5,-166,132,0.160898421995016
4.5,-166,134,0.152412792550619
4.5,-166,136,0.14451810918775
4.5,-166,138,0.13719718211487
4.5,-166,140,0.130431600058507
4.5,-166,142,0.1242012489912
4.5,-166,144,0.118483931497969
4.5,-166,146,0.113255104447517
4.5,-166,148,0.108487749132742
4.5,-166,150,0.104152383424309
4.5,-166,152,0.10021721987758
4.5,-166,154,0.0966484673729595
4.5,-166,156,0.0934107670609603
4.5,-166,158,0.0904677465029106
4.5,-166,160,0.0877826693697375
4.5,-166,162,0.0853191523262362
4.5,-166,164,0.083041916213348
4.5,-166,166,0.0809175357224394
4.5,-166,168,0.078915150725011
4.5,-166,170,0.0770071034556017
4.5,-166,172,0.0751694688848168
4.5,-166,174,0.0733824507542253
4.5,-166,176,0.071630622617207
4.5,-166,178,0.0699030014458111
4.5,-166,180,0.0681929504192407
4.5,-164,0,2.22951090171359
4.5,-164,2,2.28340805502636
4.5,-164,4,2.32972801929943
4.5,-164,6,2.3680408228894
4.5,-164,8,2.39802089828694
4.5,-164,10,2.41945240815438
4.5,-164,12,2.43223187911175
4.5,-164,14,2.43636811342285
4.5,-164,16,2.43197944728799
4.5,-164,18,2.41928851716346
4.5,-164,20,2.39861477807472
4.5,-164,22,2.3703650866873
4.5,-164,24,2.3350227143005
4.5,-164,26,2.2931351893356
4.5,-164,28,2.24530138478657
4.5,-164,30,2.19215826401262
4.5,-164,32,2.13436767963418
4.5,-164,34,2.07260358736598
4.5,-164,36,2.00753999216762
4.5,-164,38,1.93983989123911
4.5,-164,40,1.87014542038531
4.5,-164,42,1.7990693502865
4.5,-164,44,1.72718802015171
4.5,-164,46,1.65503574061177
4.5,-164,48,1.58310064755743
4.5,-164,50,1.51182194543037
4.5,-164,52,1.44158844317195
4.5,-164,54,1.37273825904277
4.5,-164,56,1.30555955179797
4.5,-164,58,1.24029212479814
4.5,-164,60,1.17712974580969
4.5,-164,62,1.11622302754216
